Element_Combination,Lattice_Parameter,USFE
Nb0.54W0.46,3.24951,1414.52
Nb0.55W0.45,3.25116,1417.87
Nb0.56W0.44,3.25248,1412.84
Nb0.57W0.43,3.2538,1395.7
Nb0.58W0.42,3.25512,1405.4
Nb0.59W0.41,3.25644,1394.96
Nb0.60W0.40,3.25809,1391.31
Nb0.61W0.39,3.25941,1340.43
Nb0.62W0.38,3.26073,1370.47
Nb0.63W0.37,3.26238,1353.51
Nb0.64W0.36,3.2637,1307.74
Nb0.65W0.35,3.26535,1328.48
Nb0.66W0.34,3.26667,1308.83
Nb0.67W0.33,3.26832,1282.28
Nb0.68W0.32,3.26964,1287.2
Nb0.69W0.31,3.27129,1276.04
Nb0.70W0.30,3.27261,1245.1
Nb0.71W0.29,3.27426,1259.17
Nb0.72W0.28,3.27558,1251.38
Nb0.73W0.27,3.27723,1215.52
Nb0.74W0.26,3.27888,1227.15
Nb0.75W0.25,3.2802,1211.82
Nb0.76W0.24,3.28185,1197.3
Nb0.77W0.23,3.2835,1187.62
Nb0.78W0.22,3.28515,1180.62
Nb0.79W0.21,3.28647,1168.42
Nb0.80W0.20,3.28812,1151.46
Nb0.81W0.19,3.28977,1150.0
Nb0.82W0.18,3.29142,1121.41
Nb0.83W0.17,3.29307,1130.23
Nb0.84W0.16,3.29472,1099.16
Nb0.85W0.15,3.29637,1100.3
Nb0.86W0.14,3.29802,1076.11
Nb0.87W0.13,3.29967,1078.12
Nb0.88W0.12,3.30132,1051.07
Nb0.89W0.11,3.30297,1068.34
Nb0.90W0.10,3.30495,1053.65
Nb0.91W0.09,3.3066,1043.38
Nb0.92W0.08,3.30825,1028.85
Nb0.93W0.07,3.3099,1013.83
Nb0.94W0.06,3.31188,1001.79
Nb0.95W0.05,3.31353,984.385
Nb0.96W0.04,3.31551,987.49
Nb0.97W0.03,3.31716,978.79
Nb0.98W0.02,3.31914,952.745
Nb0.99W0.01,3.32112,952.425
Ta0.01V0.99,3.00069,849.17
Ta0.02V0.98,3.00531,845.32
Ta0.03V0.97,3.0096,844.31
Ta0.04V0.96,3.01389,841.495
Ta0.05V0.95,3.01818,840.805
Ta0.06V0.94,3.02214,839.13
Ta0.07V0.93,3.02643,831.945
Ta0.08V0.92,3.03072,829.33
Ta0.09V0.91,3.03468,828.43
Ta0.10V0.90,3.03864,828.52
Ta0.11V0.89,3.04293,826.705
Ta0.12V0.88,3.04689,822.62
Ta0.13V0.87,3.05085,830.565
Ta0.14V0.86,3.05481,823.86
Ta0.15V0.85,3.05844,827.985
Ta0.16V0.84,3.0624,820.355
Ta0.17V0.83,3.06636,826.645
Ta0.18V0.82,3.06999,826.21
Ta0.19V0.81,3.07395,823.1
Ta0.20V0.80,3.07758,820.47
Ta0.21V0.79,3.08121,821.065
Ta0.22V0.78,3.08517,816.275
Ta0.23V0.77,3.0888,815.515
Ta0.24V0.76,3.09243,820.905
Ta0.25V0.75,3.09606,820.49
Ta0.26V0.74,3.09969,820.255
Ta0.27V0.73,3.10299,820.58
Ta0.28V0.72,3.10662,824.735
Ta0.29V0.71,3.11025,825.245
Ta0.30V0.70,3.11355,824.885
Ta0.31V0.69,3.11718,817.755
Ta0.32V0.68,3.12048,818.46
Ta0.33V0.67,3.12411,813.33
Ta0.34V0.66,3.12741,819.895
Ta0.35V0.65,3.13104,824.175
Ta0.36V0.64,3.13434,828.71
Ta0.37V0.63,3.13764,829.985
Ta0.38V0.62,3.14127,826.27
Ta0.39V0.61,3.14457,829.38
Ta0.40V0.60,3.14787,836.14
Ta0.41V0.59,3.15117,836.14
Ta0.42V0.58,3.15447,835.485
Ta0.43V0.57,3.15777,841.37
Ta0.44V0.56,3.16074,840.59
Ta0.45V0.55,3.16404,838.615
Ta0.46V0.54,3.16734,841.03
Ta0.47V0.53,3.17064,840.76
Ta0.48V0.52,3.17394,841.245
Ta0.49V0.51,3.17724,843.3
Ta0.50V0.50,3.18021,847.26
Ta0.51V0.49,3.18351,847.69
Ta0.52V0.48,3.18681,849.47
Ta0.53V0.47,3.19011,851.37
Ta0.54V0.46,3.19308,850.77
Ta0.55V0.45,3.19638,857.75
Ta0.56V0.44,3.19968,857.125
Ta0.57V0.43,3.20265,855.615
Ta0.58V0.42,3.20562,855.61
Ta0.59V0.41,3.20892,854.54
Ta0.60V0.40,3.21189,856.525
Ta0.61V0.39,3.21519,857.14
Ta0.62V0.38,3.21816,863.23
Ta0.63V0.37,3.22146,866.475
Ta0.64V0.36,3.22443,866.41
Ta0.65V0.35,3.2274,870.965
Ta0.66V0.34,3.2307,876.19
Ta0.67V0.33,3.23367,871.255
Ta0.68V0.32,3.23664,876.625
Ta0.69V0.31,3.23961,874.4
Ta0.70V0.30,3.24258,877.84
Ta0.71V0.29,3.24555,880.235
Ta0.72V0.28,3.24852,883.235
Ta0.73V0.27,3.25149,886.43
Ta0.74V0.26,3.25446,888.445
Ta0.75V0.25,3.25743,896.1
Ta0.76V0.24,3.2604,894.3
Ta0.77V0.23,3.26337,897.105
Ta0.78V0.22,3.26634,899.385
Ta0.79V0.21,3.26898,900.445
Ta0.80V0.20,3.27195,901.06
Ta0.81V0.19,3.27459,902.13
Ta0.82V0.18,3.27756,903.975
Ta0.83V0.17,3.2802,906.36
Ta0.84V0.16,3.28284,911.47
Ta0.85V0.15,3.28581,910.78
Ta0.86V0.14,3.28845,911.425
Ta0.87V0.13,3.29109,914.97
Ta0.88V0.12,3.29373,919.78
Ta0.89V0.11,3.29637,922.905
Ta0.90V0.10,3.29901,924.465
Ta0.91V0.09,3.30132,927.355
Ta0.92V0.08,3.30396,930.72
Ta0.93V0.07,3.3066,931.6
Ta0.94V0.06,3.30891,935.145
Ta0.95V0.05,3.31155,934.63
Ta0.96V0.04,3.31386,937.94
Ta0.97V0.03,3.31617,941.29
Ta0.98V0.02,3.31881,943.435
Ta0.99V0.01,3.32112,945.95
Ta0.01W0.99,3.19077,1793.12
Ta0.02W0.98,3.19176,1791.67
Ta0.03W0.97,3.19275,1792.26
Ta0.04W0.96,3.19374,1787.53
Ta0.05W0.95,3.19473,1787.02
Ta0.06W0.94,3.19539,1788.39
Ta0.07W0.93,3.19638,1787.08
Ta0.08W0.92,3.19737,1784.51
Ta0.09W0.91,3.19836,1778.55
Ta0.10W0.90,3.19935,1775.42
Ta0.11W0.89,3.20034,1772.36
Ta0.12W0.88,3.201,1770.69
Ta0.13W0.87,3.20199,1768.73
Ta0.14W0.86,3.20298,1765.1
Ta0.15W0.85,3.20397,1763.65
Ta0.16W0.84,3.20496,1761.16
Ta0.17W0.83,3.20595,1760.53
Ta0.18W0.82,3.20694,1753.13
Ta0.19W0.81,3.20793,1746.33
Ta0.20W0.80,3.20892,1741.17
Ta0.21W0.79,3.20991,1731.4
Ta0.22W0.78,3.2109,1727.8
Ta0.23W0.77,3.21222,1722.05
Ta0.24W0.76,3.21321,1716.72
Ta0.25W0.75,3.2142,1716.02
Ta0.26W0.74,3.21519,1714.65
Ta0.27W0.73,3.21618,1711.39
Ta0.28W0.72,3.2175,1695.53
Ta0.29W0.71,3.21849,1693.28
Ta0.30W0.70,3.21948,1689.86
Ta0.31W0.69,3.2208,1681.78
Ta0.32W0.68,3.22179,1671.26
Ta0.33W0.67,3.22278,1662.07
Ta0.34W0.66,3.2241,1651.32
Ta0.35W0.65,3.22542,1648.97
Ta0.36W0.64,3.22641,1640.36
Ta0.37W0.63,3.22773,1630.58
Ta0.38W0.62,3.22872,1616.41
Ta0.39W0.61,3.23004,1614.26
Ta0.40W0.60,3.23136,1606.35
Ta0.41W0.59,3.23235,1600.46
Ta0.42W0.58,3.23367,1590.71
Ta0.43W0.57,3.23499,1566.25
Ta0.44W0.56,3.23631,1571.83
Ta0.45W0.55,3.23763,1560.71
Ta0.46W0.54,3.23895,1553.92
Ta0.47W0.53,3.24027,1543.88
Ta0.48W0.52,3.24159,1517.9
Ta0.49W0.51,3.24291,1504.14
Ta0.50W0.50,3.24423,1509.87
Ta0.51W0.49,3.24555,1500.39
Ta0.52W0.48,3.24687,1492.75
Ta0.53W0.47,3.24819,1468.38
Ta0.54W0.46,3.24984,1464.53
Ta0.55W0.45,3.25116,1450.16
Ta0.56W0.44,3.25248,1446.34
Ta0.57W0.43,3.25413,1442.37
Ta0.58W0.42,3.25545,1435.57
Ta0.59W0.41,3.2571,1389.25
Ta0.60W0.40,3.25842,1379.32
Ta0.61W0.39,3.26007,1406.95
Ta0.62W0.38,3.26139,1396.6
Ta0.63W0.37,3.26304,1378.69
Ta0.64W0.36,3.26436,1363.87
Ta0.65W0.35,3.26601,1322.51
Ta0.66W0.34,3.26766,1331.87
Ta0.67W0.33,3.26931,1307.97
Ta0.68W0.32,3.27063,1311.26
Ta0.69W0.31,3.27228,1301.22
Ta0.70W0.30,3.27393,1298.49
Ta0.71W0.29,3.27558,1280.89
Ta0.72W0.28,3.27723,1245.79
Ta0.73W0.27,3.27888,1261.63
Ta0.74W0.26,3.28053,1226.76
Ta0.75W0.25,3.28218,1232.43
Ta0.76W0.24,3.28383,1204.32
Ta0.77W0.23,3.28548,1208.59
Ta0.78W0.22,3.28713,1182.45
Ta0.79W0.21,3.28878,1188.13
Ta0.80W0.20,3.29043,1168.98
Ta0.81W0.19,3.29208,1167.56
Ta0.82W0.18,3.29373,1141.64
Ta0.83W0.17,3.29538,1148.35
Ta0.84W0.16,3.29703,1119.48
Ta0.85W0.15,3.29868,1118.19
Ta0.86W0.14,3.30033,1095.35
Ta0.87W0.13,3.30198,1096.22
Ta0.88W0.12,3.30363,1070.63
Ta0.89W0.11,3.30528,1086.7
Ta0.90W0.10,3.30693,1054.64
Ta0.91W0.09,3.30858,1062.14
Ta0.92W0.08,3.31023,1046.57
Ta0.93W0.07,3.31188,1033.14
Ta0.94W0.06,3.31353,1014.24
Ta0.95W0.05,3.31518,1017.85
Ta0.96W0.04,3.31683,992.505
Ta0.97W0.03,3.31848,998.61
Ta0.98W0.02,3.32013,974.42
Ta0.99W0.01,3.32178,973.71
V0.01W0.99,3.18813,1790.26
V0.02W0.98,3.18615,1789.26
V0.03W0.97,3.1845,1788.08
V0.04W0.96,3.18252,1784.76
V0.05W0.95,3.18087,1784.19
V0.06W0.94,3.17889,1782.94
V0.07W0.93,3.17724,1780.0
V0.08W0.92,3.17526,1778.92
V0.09W0.91,3.17361,1773.28
V0.10W0.90,3.17163,1770.83
V0.11W0.89,3.16998,1768.36
V0.12W0.88,3.168,1764.66
V0.13W0.87,3.16635,1761.74
V0.14W0.86,3.1647,1752.83
V0.15W0.85,3.16272,1753.5
V0.16W0.84,3.16107,1747.1
V0.17W0.83,3.15942,1748.37
V0.18W0.82,3.15744,1742.55
V0.19W0.81,3.15579,1734.32
V0.20W0.80,3.15414,1727.77
V0.21W0.79,3.15216,1725.07
V0.22W0.78,3.15051,1714.62
V0.23W0.77,3.14886,1710.7
V0.24W0.76,3.14688,1706.42
V0.25W0.75,3.14523,1702.06
V0.26W0.74,3.14358,1695.65
V0.27W0.73,3.14193,1687.8
V0.28W0.72,3.13995,1690.03
V0.29W0.71,3.1383,1673.45
V0.30W0.70,3.13665,1673.11
V0.31W0.69,3.13467,1662.78
V0.32W0.68,3.13302,1651.98
V0.33W0.67,3.13137,1643.86
V0.34W0.66,3.12939,1636.91
V0.35W0.65,3.12774,1621.64
V0.36W0.64,3.12609,1624.46
V0.37W0.63,3.12444,1608.62
V0.38W0.62,3.12246,1595.92
V0.39W0.61,3.12081,1592.55
V0.40W0.60,3.11916,1584.6
V0.41W0.59,3.11718,1577.76
V0.42W0.58,3.11553,1545.37
V0.43W0.57,3.11355,1562.5
V0.44W0.56,3.1119,1546.28
V0.45W0.55,3.11025,1533.02
V0.46W0.54,3.10827,1527.23
V0.47W0.53,3.10662,1501.78
V0.48W0.52,3.10464,1489.75
V0.49W0.51,3.10299,1496.65
V0.50W0.50,3.10101,1478.1
V0.51W0.49,3.09936,1468.5
V0.52W0.48,3.09738,1460.86
V0.53W0.47,3.09573,1430.82
V0.54W0.46,3.09375,1434.0
V0.55W0.45,3.0921,1417.39
V0.56W0.44,3.09012,1393.19
V0.57W0.43,3.08814,1411.08
V0.58W0.42,3.08616,1403.34
V0.59W0.41,3.08451,1350.88
V0.60W0.40,3.08253,1342.89
V0.61W0.39,3.08055,1374.83
V0.62W0.38,3.07857,1362.0
V0.63W0.37,3.07659,1340.75
V0.64W0.36,3.07461,1293.61
V0.65W0.35,3.07263,1316.04
V0.66W0.34,3.07065,1294.21
V0.67W0.33,3.06867,1279.46
V0.68W0.32,3.06669,1273.25
V0.69W0.31,3.06471,1234.03
V0.70W0.30,3.06273,1258.1
V0.71W0.29,3.06075,1238.87
V0.72W0.28,3.05877,1228.96
V0.73W0.27,3.05679,1219.43
V0.74W0.26,3.05448,1205.58
V0.75W0.25,3.0525,1158.65
V0.76W0.24,3.05052,1166.24
V0.77W0.23,3.04821,1136.51
V0.78W0.22,3.04623,1146.68
V0.79W0.21,3.04425,1132.36
V0.80W0.20,3.04194,1119.08
V0.81W0.19,3.03996,1108.57
V0.82W0.18,3.03765,1096.79
V0.83W0.17,3.03567,1088.0
V0.84W0.16,3.03336,1057.58
V0.85W0.15,3.03105,1053.18
V0.86W0.14,3.02907,1043.18
V0.87W0.13,3.02676,1027.5
V0.88W0.12,3.02445,1018.36
V0.89W0.11,3.02214,1012.17
V0.90W0.10,3.01983,996.095
V0.91W0.09,3.01785,983.85
V0.92W0.08,3.01554,967.835
V0.93W0.07,3.01323,949.84
V0.94W0.06,3.01092,938.25
V0.95W0.05,3.00861,931.265
V0.96W0.04,3.00597,904.685
V0.97W0.03,3.00366,906.77
V0.98W0.02,3.00135,892.505
V0.99W0.01,2.99871,879.795
Mo0.33Nb0.33Ta0.33,3.2637,1252.875212
Mo0.33Nb0.33V0.33,3.16932,1207.535636
Mo0.33Nb0.33W0.33,3.21882,1547.547882
Mo0.33V0.33W0.33,3.12246,1588.40031
Mo0.33Ta0.33V0.33,3.16932,1213.718992
Nb0.33Ta0.33V0.33,3.2307,860.879902
Nb0.33V0.33W0.33,3.17691,1267.011084
Nb0.33Ta0.33W0.33,3.26799,1329.66824
Ta0.33V0.33W0.33,3.17724,1285.338251
Mo0.33Ta0.33W0.33,3.21816,1595.54207
Mo1.00,3.16767,1484.99
Nb1.00,3.3231,928.685
Ta1.00,3.32343,951.3
V1.00,2.9964,852.105
W1.00,3.19011,1791.61
Mo0.25Nb0.25Ta0.25V0.25,3.20958,1124.64
Mo0.25Nb0.25Ta0.25W0.25,3.24093,1471.2
Mo0.25Nb0.25V0.25W0.25,3.17196,1421.51
Mo0.25Ta0.25V0.25W0.25,3.17229,1458.14
Nb0.25Ta0.25V0.25W0.25,3.2142,1196.96
Mo0.20Nb0.20Ta0.20V0.20W0.20,3.20199,1352.85
